iter	Logloss
0	0.6887632096
1	0.685980063
2	0.6823399896
3	0.6792719359
4	0.6751536797
5	0.6715117431
6	0.6682574227
7	0.6657266587
8	0.6623371236
9	0.6599741447
10	0.6569326817
11	0.6538817421
12	0.6505285947
13	0.6471763253
14	0.6447227716
15	0.6416237589
16	0.6392728367
17	0.6364438135
18	0.6340251934
19	0.6315222757
20	0.629179611
21	0.6261976506
22	0.623565348
23	0.6209360806
24	0.6178507882
25	0.6153268893
26	0.612644816
27	0.6103653679
28	0.6086563399
29	0.6063456103
30	0.6041106883
31	0.6015170117
32	0.59887487
33	0.5966561518
34	0.5946821591
35	0.59236574
36	0.5898800564
37	0.5882449067
38	0.5861853296
39	0.5840876235
40	0.5818606828
41	0.579189816
42	0.5769032195
43	0.5746178454
44	0.5726833613
45	0.5711095347
46	0.5696912552
47	0.5680698058
48	0.5666927904
49	0.5648369306
50	0.5633678818
51	0.5615944192
52	0.5598165993
53	0.5579270829
54	0.5563993389
55	0.5550678575
56	0.5531377297
57	0.5514677181
58	0.5500708841
59	0.5485581631
60	0.5468568218
61	0.545662031
62	0.5442754202
63	0.5422136626
64	0.5411968525
65	0.5397894401
66	0.5386950535
67	0.5373809791
68	0.536131283
69	0.53455846
70	0.532750245
71	0.5312931277
72	0.5295809161
73	0.5280808461
74	0.5271921016
75	0.5263361381
76	0.5248411502
77	0.5238454249
78	0.5227445714
79	0.5210373529
80	0.5198328515
81	0.5184346302
82	0.517346442
83	0.5162593279
84	0.514999474
85	0.5138065523
86	0.5127178486
87	0.5115754714
88	0.5104152875
89	0.5089390324
90	0.5075116427
91	0.506442259
92	0.5057809277
93	0.5045831781
94	0.503630517
95	0.5025787312
96	0.5012860631
97	0.5000954566
98	0.4993118935
99	0.49844152
100	0.4974393928
101	0.4965982029
102	0.4955122939
103	0.4944878912
104	0.4935198961
105	0.4924668251
106	0.491375301
107	0.4907137368
108	0.4896947844
109	0.4885810693
110	0.4878705828
111	0.4870936
112	0.4863706566
113	0.4854071993
114	0.4846068194
115	0.4832261219
116	0.4824832474
117	0.4817975915
118	0.4807994905
119	0.4801507573
120	0.4793446031
121	0.4784865078
122	0.4774941049
123	0.4767867288
124	0.4760061091
125	0.4751777648
126	0.474610507
127	0.4740442385
128	0.4734359182
129	0.4727123412
